Above;Выше
Accidentally;Случайно
According;В Соответствии
Actor;Актёр
Actress;Актриса
Actually;На Самом Деле
Address;Адрес
Afraid;Напуганный
Afternoon;День
Again;Снова
Agree;Согласный
Agreement;Договор
Air;Воздух
Also;Также
Always;Всегда
Ambulance;Скорая Помощь
Angry;Злой
Angry;Сердитый
Animal;Животное
Answer;Ответ
Apartment;Квартира
Apple;Яблоко
Apricot;Абрикос
April;Апрель
Aquarium;Аквариум
Artist;Художник
Asleep;Спящий
Atm;Банкомат
Attentive;Внимательный
Attitude;Отношение
August;Август
Aunt;Тетя
Aunt;Тётя
Available;Доступный
Avocado;Авокадо
Baby;Малыш
Bad;Плохой
Badly;Плохо
Bag;Сумка
Banana;Банан
Bank;Банк
Bar;Бар
Basic;Базовый
Basketball;Баскетбол
Bathroom;Ванная Комната
Beach;Пляж
Beautiful;Красивый
Beautifully;Красиво
Bed;Кровать
Bed Sheets;Постельное Бельё
Bedroom;Спальня
Behavior;Поведение
Believe;Верить
Besides;Помимо Этого
Bicycle;Велосипед
Big;Большой
Bird;Птица
Birthday;День Рождения
Black;Чёрный
Blanket;Одеяло
Blue;Синий
Book;Книга
Boring;Нудный
Boy;Мальчик
Boyfriend;Парень
Brave;Смелый
Bread;Хлеб
Briefly;Кратко
Brother;Брат
Brown;Коричневый
Bus;Автобус
Busy;Занятой
Busy;Занятый
Buy;Купить
Cab;Такси
Call;Звонок
Calm;Спокойный
Camping;Кемпинг
Car;Автомобиль
Careful;Внимательный, Заботливый
Carefully;Осторожно
Carrot;Морковь
Cash;Наличные
Cat;Кошка
Ceiling;Потолок
Certainly;Конечно
Chair;Стул
Cheap;Дешевый
Cheap;Дешёвый
Cheese;Сыр
Cherry;Вишня
Chicken;Курица
Child;Ребенок
Children;Дети
Christmas;Рождество
Cinema;Кинотеатр
City;Город
Clean;Чистить
Clean;Чистый
Clever;Умный
Close;Закрыть
Clothes;Одежда
Cloud;Облако
Club;Клуб
Coffee;Кофе
Coffee Shop;Кофейня
Cold;Холодный
College;Колледж
Color;Цвет
Comfortable;Комфортный
Comment;Комментарий
Communication;Общение
Computer;Компьютер
Concert;Концерт
Confident;Уверенный
Constant;Постоянный
Cook;Готовить
Correctly;Верно, Правильно
Country;Страна
Courier;Курьер
Course;Курс
Cousin;Двоюродная Сестра Или Брат
Cousin;Кузен
Cow;Корова
Credit Card;Кредитная Карта
Curious;Любопытный
Cycling;Велосипедный Спорт
Daily;Ежедневно
Dance;Танцевать
Dancer;Танцор
Dangerous;Опасный
Dark;Темный
Dark;Тёмный
Date;Свидание
Daughter;Дочь
Day;День
December;Декабрь
Deep;Глубокий
Degree;Степень
Delivery;Доставка
Dialogue;Диалог
Different;Разный
Difficult;Трудный
Dirty;Грязный
Disagree;Несогласный
Dislike;Не Нравится
Distance;Дистанция
Doctor;Врач
Dog;Собака
Don't Know;Не Знать
Door;Дверь
Draw;Рисовать
Dreamily;Мечтательно
Dress;Платье
Drink;Напиток
Drink;Пить
Drive;Водить Машину
East;Восток
Easter;Пасха
Easy;Легкий
Eat;Есть
Email;Эл. Почта
Empty;Пустой
End;Закончить
Engineer;Инженер
Enjoy;Наслаждаться
Equally;Одинаково
Especially;Особенно
Even;Даже
Evening;Вечер
Eventually;В Конце Концов
Ever;Когда-либо
Every;Каждый
Exact;Точный
Exam;Экзамен
Exercise;Тренироваться
Expensive;Дорогой
Fair;Честный, Светлый
False;ЛОЖЬ
Family;Семья
Far;Далекий
Fast;Быстрый
Fat;Толстый
Father;Отец
February;Февраль
Festival;Фестиваль
Fine;Замечательный
Finish;Закончить
Fire;Огонь
Fish;Рыба
Fishing;Рыбалка
Fitness;Фитнес
Floor;Пол
Flower;Цветок
Fly;Летать
Food;Еда
Food Order;Заказ Еды
Foolishly;Глупо
Football;Футбол
Foreign;Иностранный
Forest;Лес
Forget;Забывать
Fortunately;К Счастью
Forward;Вперед
Free;Свободный
Fresh;Свежий
